Date,Open,High,Low,Close,Volume
2022-01-04,1884.04,1897.99,1843.04,1880.27,33843
2022-01-05,1874.04,1894.04,1847.04,1853.04,28396
2022-01-06,1851.05,1865.04,1767.55,1811.26,51795
2022-01-07,1804.04,1817.92,1768.36,1771.04,29817
2022-01-10,1757.05,1806.04,1746.59,1795.04,29627
2022-01-11,1777.04,1794.04,1760.21,1769.59,22277
2022-01-12,1777.04,1807.84,1777.04,1796.04,27474
2022-01-13,1793.86,1797.03,1694.6,1706.43,56747
2022-01-14,1706.43,1722.04,1692.04,1696.04,29322
2022-01-17,1697.04,1707.34,1664.38,1690.65,27354
2022-01-18,1690.72,1737.89,1681.04,1721.31,31216
2022-01-19,1748.04,1748.04,1717.92,1741.04,26371
2022-01-20,1745.04,1809.03,1745.04,1798.56,34014
2022-01-21,1789.04,1822.53,1780.05,1814.03,30813
2022-01-24,1784.04,1813.04,1760.48,1779.24,23986
2022-01-25,1772.04,1795.04,1760.04,1772.04,25510
2022-01-26,1771.08,1798.04,1748.04,1784.04,23905
2022-01-27,1830.05,1839.86,1781.04,1794.04,42665
2022-01-28,1784.04,1797.04,1709.05,1716.04,41020
2022-02-07,1730.03,1742.6,1679.04,1697.0,35150
2022-02-08,1697.92,1701.91,1619.04,1668.04,41713
2022-02-09,1668.13,1737.04,1656.01,1725.02,33885
2022-02-10,1729.04,1734.94,1686.43,1702.04,23032
2022-02-11,1686.04,1729.83,1670.04,1679.01,33746
2022-02-14,1669.04,1706.04,1666.35,1697.71,20196
2022-02-15,1697.84,1740.04,1688.04,1719.66,27106
2022-02-16,1729.04,1736.04,1717.04,1721.59,14587
2022-02-17,1729.65,1740.52,1710.04,1716.03,18214
2022-02-18,1706.67,1737.02,1694.7,1736.04,19385
2022-02-21,1729.04,1735.94,1697.99,1706.03,20816
2022-02-22,1689.05,1690.04,1629.06,1636.91,52299
2022-02-23,1640.45,1663.04,1629.12,1656.05,28112
2022-02-24,1637.04,1643.03,1577.14,1593.15,65359
2022-02-25,1604.04,1637.32,1604.04,1628.1,38979
2022-02-28,1616.1,1626.04,1596.04,1619.44,28923
2022-03-01,1631.04,1692.61,1631.04,1687.52,47379
2022-03-02,1669.04,1680.03,1654.04,1673.92,20074
2022-03-03,1674.84,1679.29,1623.04,1629.04,31547
2022-03-04,1601.04,1621.93,1584.14,1609.54,31047
2022-03-07,1589.24,1597.04,1532.84,1536.04,49156
2022-03-08,1589.02,1615.7,1561.04,1582.24,57215
2022-03-09,1593.14,1634.04,1550.15,1608.22,56434
2022-03-10,1637.04,1650.04,1620.04,1623.47,36462
2022-03-11,1595.04,1606.04,1547.12,1598.05,47727
2022-03-14,1559.04,1579.04,1529.04,1529.04,49007
2022-03-15,1479.04,1514.04,1432.04,1432.04,89056
2022-03-16,1463.04,1512.94,1422.04,1503.99,77593
2022-03-17,1549.04,1584.04,1540.7,1549.19,68352
2022-03-18,1547.04,1574.04,1521.32,1536.83,38349
2022-03-21,1553.04,1554.69,1524.05,1533.34,27877
2022-03-22,1552.92,1552.92,1515.37,1524.04,21054
2022-03-23,1534.04,1599.04,1526.04,1581.23,58067
2022-03-24,1567.04,1569.04,1546.39,1549.97,25815
2022-03-25,1541.04,1563.04,1514.04,1519.04,29709
2022-03-28,1454.04,1493.84,1433.04,1489.84,57542
2022-03-29,1490.54,1520.54,1490.54,1496.04,25935
2022-03-30,1527.04,1559.14,1524.04,1559.14,42433
2022-03-31,1549.04,1567.64,1537.84,1548.04,25174
2022-04-01,1558.98,1622.04,1550.73,1609.05,44862
2022-04-06,1582.04,1617.77,1582.04,1594.04,27820
2022-04-07,1587.04,1614.04,1579.14,1594.04,20196
2022-04-08,1597.04,1617.74,1595.58,1613.04,22941
2022-04-11,1599.04,1599.04,1535.07,1549.04,43864
2022-04-12,1558.04,1617.01,1537.04,1611.04,41630
2022-04-13,1596.04,1624.04,1580.12,1598.04,31148
2022-04-14,1617.04,1664.94,1609.24,1638.04,37650
2022-04-15,1631.24,1647.04,1624.93,1635.03,21041
2022-04-18,1610.17,1627.04,1597.04,1619.86,19793
2022-04-19,1629.04,1662.03,1604.54,1619.34,24205
2022-04-20,1630.73,1649.04,1597.72,1626.04,24156
2022-04-21,1619.24,1635.04,1599.04,1609.02,28953
2022-04-22,1592.04,1616.92,1589.22,1602.04,27900
2022-04-25,1579.04,1605.54,1531.04,1537.04,53658
2022-04-26,1532.37,1578.02,1529.04,1561.52,44564
2022-04-27,1596.16,1639.04,1596.16,1623.96,57402
2022-04-28,1622.04,1674.04,1615.54,1664.04,44010
2022-04-29,1665.04,1678.04,1640.02,1657.42,34885
2022-05-05,1659.04,1699.04,1658.02,1666.04,33661
2022-05-06,1644.03,1648.04,1610.04,1622.04,28596
2022-05-09,1609.04,1609.04,1567.04,1581.04,30352
2022-05-10,1549.04,1614.0,1534.05,1595.23,40119
2022-05-11,1584.04,1617.52,1581.04,1597.04,30313
2022-05-12,1582.04,1607.04,1579.04,1591.71,22038
2022-05-13,1609.04,1626.98,1595.04,1607.28,20731
2022-05-16,1626.04,1626.04,1571.71,1587.04,27765
2022-05-17,1598.92,1604.04,1584.04,1597.04,20145
2022-05-18,1602.7,1602.96,1572.06,1590.04,24850
2022-05-19,1574.04,1586.04,1568.04,1585.04,19776
2022-05-20,1589.03,1630.19,1581.04,1629.05,41950
2022-05-23,1629.04,1632.93,1601.04,1610.04,22157
2022-05-24,1615.04,1616.04,1584.54,1589.04,27342
2022-05-25,1594.31,1601.04,1576.04,1584.55,22389
2022-05-26,1590.04,1590.04,1559.04,1571.84,28053
2022-05-27,1589.03,1609.04,1582.05,1584.2,25120
2022-05-30,1595.04,1619.59,1595.04,1607.45,34466
2022-05-31,1603.81,1643.94,1596.02,1633.07,40751
2022-06-01,1631.04,1643.82,1608.04,1617.29,21760
2022-06-02,1617.01,1624.84,1609.04,1615.04,16915
2022-06-06,1619.04,1624.04,1587.04,1617.04,36741
2022-06-07,1613.18,1654.04,1599.35,1646.94,35049
2022-06-08,1654.04,1711.04,1654.04,1694.64,44354
2022-06-09,1701.04,1717.39,1678.04,1682.04,26329
2022-06-10,1674.05,1736.04,1664.04,1729.64,47345
2022-06-13,1719.04,1721.04,1677.12,1685.04,36755
2022-06-14,1663.04,1704.46,1661.04,1700.04,29416
2022-06-15,1699.04,1734.04,1692.03,1704.14,33664
2022-06-16,1723.63,1736.67,1704.37,1706.04,26887
2022-06-17,1707.13,1781.04,1707.13,1780.04,50542
2022-06-20,1779.04,1799.04,1759.04,1771.06,34975
2022-06-21,1778.04,1796.03,1757.04,1774.78,23717
2022-06-22,1784.04,1787.04,1761.04,1765.04,19647
2022-06-23,1771.74,1794.08,1769.04,1786.14,26844
2022-06-24,1799.04,1849.04,1794.04,1838.05,39635
2022-06-27,1848.98,1878.98,1829.34,1839.59,40115
2022-06-28,1848.78,1870.04,1830.04,1865.04,25246
2022-06-29,1857.04,1871.04,1840.05,1859.04,30360
2022-06-30,1850.72,1927.72,1850.71,1895.72,38982
2022-07-01,1905.72,1918.49,1865.93,1879.77,21596
2022-07-04,1870.73,1875.01,1851.73,1868.72,25076
2022-07-05,1876.0,1905.17,1860.72,1883.73,26329
2022-07-06,1882.72,1889.72,1836.72,1852.72,32752
2022-07-07,1855.72,1860.07,1835.73,1840.72,20932
2022-07-08,1855.72,1865.61,1846.88,1849.72,15644
2022-07-11,1840.92,1845.49,1801.22,1814.32,23949
2022-07-12,1815.72,1823.52,1780.78,1799.13,23447
2022-07-13,1795.72,1822.72,1791.39,1809.61,19854
2022-07-14,1810.72,1827.52,1791.72,1803.72,20527
2022-07-15,1795.83,1850.4,1795.23,1800.22,33416
2022-07-18,1803.08,1809.72,1772.72,1802.38,24221
2022-07-19,1795.72,1802.37,1776.72,1793.82,21956
2022-07-20,1809.47,1820.72,1795.72,1800.82,18705
2022-07-21,1793.82,1806.62,1785.23,1789.72,14061
2022-07-22,1799.94,1812.72,1785.72,1797.72,25114
2022-07-25,1800.23,1803.02,1781.72,1795.37,16912
2022-07-26,1803.71,1815.69,1797.74,1800.93,20685
2022-07-27,1792.72,1798.72,1767.72,1770.32,21490
2022-07-28,1771.82,1788.72,1743.38,1748.72,34870
2022-07-29,1745.82,1769.71,1728.82,1749.16,37032
2022-08-01,1740.73,1758.72,1731.9,1741.02,21037
2022-08-02,1730.72,1738.7,1708.73,1730.7,28221
2022-08-03,1740.71,1754.72,1727.72,1735.72,24598
2022-08-04,1740.72,1773.82,1730.85,1766.73,30357
2022-08-05,1778.52,1785.72,1755.62,1774.68,20086
2022-08-08,1765.87,1783.6,1758.23,1762.25,16799
2022-08-09,1762.25,1769.71,1755.72,1760.72,13875
2022-08-10,1760.7,1768.72,1715.3,1726.72,27927
2022-08-11,1736.72,1757.72,1728.73,1757.62,26061
2022-08-12,1757.62,1780.72,1750.72,1778.72,20260
